team,conference,offense.ppa,offense.successRate,offense.explosiveness,defense.ppa,defense.successRate,defense.explosiveness
UConn,FBS Independents,0.1790593416937965,0.4132138857782755,1.2413634662716613,0.08442864052662602,0.3839080459770115,1.1914277689940345
Vanderbilt,SEC,0.17834107766130078,0.4209844559585492,1.2127626348590317,0.22377039087879874,0.4627791563275434,1.1974146326092794
Northern Illinois,Mid-American,0.17750728134641355,0.43014301430143015,1.224443331119387,0.06200312698181769,0.37711313394018203,1.2148979698602833
Florida Atlantic,American Athletic,0.17312811203134348,0.3979974968710889,1.4274851704901217,0.20520051928942795,0.41154791154791154,1.357369688642592
South Florida,American Athletic,0.16922211113505042,0.3922413793103448,1.3620752261184068,0.1377461013915904,0.38969072164948454,1.3706875417268383
California,ACC,0.16898701343610617,0.41460541813898705,1.2884889472995722,0.13814535654770113,0.3997613365155131,1.3243312596585126
UTSA,American Athletic,0.1687542324228181,0.402834008097166,1.3169430775567132,0.09735140233839418,0.3445867287543655,1.4979266096263082
UAB,American Athletic,0.16652611035319426,0.4405594405594406,1.1855180455265002,0.21751906212391553,0.44350961538461536,1.1778571644564728
Hawai'i,Mountain West,0.16563868718384436,0.43950617283950616,1.1733143829323625,0.19168484419906798,0.421455938697318,1.1964216896892346
Nebraska,Big Ten,0.16545987279585997,0.44302325581395346,1.1110008447431503,0.12719668650568672,0.4095112285336856,1.2870881339015534
Coastal Carolina,Sun Belt,0.1650880519266254,0.40194884287454324,1.3325136782066471,0.21074850039705453,0.42808607021517553,1.3097210456706838
Arkansas State,Sun Belt,0.16339419959978144,0.41195652173913044,1.1979057695961437,0.3106343652252475,0.48300117233294254,1.29563293617761
Rutgers,Big Ten,0.16199742893388497,0.4388888888888889,1.1808271427081167,0.23595841574139434,0.43296432964329645,1.3404190668569453
James Madison,Sun Belt,0.16026351785501397,0.4317673378076063,1.2204372418179312,0.0328634028684403,0.34285714285714286,1.3989765249571169
Virginia Tech,ACC,0.1581410417764205,0.40786240786240785,1.2814715596866901,0.10073807914033392,0.39285714285714285,1.2486421936045011
Boston College,ACC,0.1579725749351202,0.41375291375291373,1.2910986516444876,0.13588115259625005,0.41211401425178146,1.1878165642153071
Pittsburgh,ACC,0.1563534456331031,0.42006615214994486,1.3500831029531577,0.0992697749695182,0.3802966101694915,1.4077478409224855
Massachusetts,Mid-American,0.1557687243042455,0.4005037783375315,1.2401396770768174,0.26131554199253987,0.46403385049365303,1.2125215309916542
Wisconsin,Big Ten,0.15432387915551776,0.4197689345314506,1.1444148435279642,0.17352784342669345,0.43297587131367293,1.1103945823855228
Oregon State,Pac-12,0.1513261050239828,0.431980906921241,1.1646368312328865,0.26521848384323504,0.47540983606557374,1.1969765394541538
Colorado State,Mountain West,0.14995237027613492,0.4139976275207592,1.276948572204444,0.16702859277451684,0.42889647326507396,1.2245472515336626
Buffalo,Mid-American,0.14471089020730546,0.3801369863013699,1.3188861379976162,0.14498249697578283,0.4198218262806236,1.3141114223698245
Central Michigan,Mid-American,0.14301344594797116,0.3902439024390244,1.2426801677024277,0.1877497422693999,0.3868421052631579,1.4192583159645475
Miami (OH),Mid-American,0.14237259685743706,0.4065040650406504,1.2909418369773267,0.12176553489651838,0.4358974358974359,1.0521391748911297
Iowa,Big Ten,0.14231122252944822,0.42021276595744683,1.1977194037433312,0.09825669329039934,0.41829268292682925,1.0654528499464955
Georgia State,Sun Belt,0.14129737276875612,0.4062111801242236,1.3057637435479172,0.26508752204879094,0.4748743718592965,1.2057757782903942
UCLA,Big Ten,0.13771075166782648,0.3923705722070845,1.293906413661377,0.16259870371141166,0.45675675675675675,1.1185437916862389
Florida International,Conference USA,0.13748578209912948,0.3914835164835165,1.2839114967510474,0.12161923325233791,0.4154761904761905,1.1500721938237493
San Diego State,Mountain West,0.13374903399368473,0.371536523929471,1.3492134311241226,0.22966368763515213,0.46054181389870436,1.2102628747076603
Michigan State,Big Ten,0.1313901865466538,0.42027027027027025,1.1557587160097895,0.1702373299792856,0.4120054570259209,1.337447805425867
Air Force,Mountain West,0.13048584187762788,0.418227215980025,1.0532557012890365,0.19494799067606317,0.41874084919472915,1.2727885240134773
UL Monroe,Sun Belt,0.12250321780659898,0.361671469740634,1.3703206224142723,0.19853167072030395,0.4693627450980392,1.0749155279901985
Virginia,ACC,0.12073432878156197,0.39518072289156625,1.1896820615684607,0.2461287351340997,0.4142678347934919,1.3000605028587127
Maryland,Big Ten,0.12070808677030251,0.4053738317757009,1.2519143022140886,0.17418134586875564,0.4236024844720497,1.2311341767154664
Wake Forest,ACC,0.11887081427997831,0.4236276849642005,1.1699342044712726,0.2739397753461931,0.5116279069767442,1.1208219491913267
Ball State,Mid-American,0.11680706978154387,0.41044776119402987,1.2391439371890978,0.34926062977204586,0.4713375796178344,1.4537913967360996
Middle Tennessee,Conference USA,0.11618878910248856,0.39466666666666667,1.2805586802231512,0.31703365771004577,0.4899497487437186,1.2860730080766307
Michigan,Big Ten,0.11344290505640826,0.403530895334174,1.1061459634112518,0.12004668378551865,0.3827460510328068,1.26141831283045
Arizona,Big 12,0.11337708574239627,0.3843137254901961,1.4026707916092067,0.22737874104813086,0.43823146944083224,1.3217091194303225
Fresno State,Mountain West,0.10881941490702907,0.39603960396039606,1.2947138536000673,0.08570688199990945,0.4040948275862069,1.138355094789058
Toledo,Mid-American,0.10176170757599479,0.4050925925925926,1.2394483669503447,0.09173018552367931,0.3967914438502674,1.1893052756224114
Sam Houston,Conference USA,0.09871664349139293,0.38875305623471884,1.1607926353957083,0.09425790611918082,0.41967621419676215,1.022833922979394
Stanford,ACC,0.09827602646074628,0.40049751243781095,1.2270450015217331,0.2527244065763696,0.4565499351491569,1.3283518743058402
Duke,ACC,0.0932371003123423,0.3745541022592152,1.2781651034040835,0.08963595225272314,0.391025641025641,1.1984512376491618
Tulsa,American Athletic,0.09103084851517686,0.3580387685290764,1.347131284476813,0.33159691443377787,0.4215568862275449,1.6134856256727474
Oklahoma,SEC,0.08696218938254188,0.3922902494331066,1.2044625573669028,0.05757133030436014,0.3567110036275695,1.2699146983816356
Kentucky,SEC,0.08664841837783999,0.4166666666666667,1.1707586242568975,0.1392262246358277,0.44397163120567373,1.1176321714500252
Utah,Big 12,0.0794594611037124,0.36904761904761907,1.3019875991101617,0.04153892489905846,0.3503184713375796,1.34055666950489
Charlotte,American Athletic,0.07437622253731607,0.3625170998632011,1.4674991480315478,0.21770973553504996,0.4445797807551766,1.2893630305584982
Eastern Michigan,Mid-American,0.07430834035267848,0.4135429262394196,1.1703280264677363,0.17521050854610856,0.43946188340807174,1.2659155550028387
UTEP,Conference USA,0.07210777206372396,0.3731155778894472,1.165012415170578,0.13732699506389826,0.4052132701421801,1.3292510956030323
Rice,American Athletic,0.07168313830492365,0.3693107932379714,1.308557974730778,0.14626159340214903,0.3646907216494845,1.3298466335180306
Purdue,Big Ten,0.0701060575103315,0.3898809523809524,1.1852131808823212,0.3740876594206628,0.47924528301886793,1.4088653142662249
Akron,Mid-American,0.06379003897790654,0.3880208333333333,1.2777041866304133,0.2110495511336605,0.44730392156862747,1.2353903353969045
New Mexico State,Conference USA,0.04118816455797912,0.38140161725067384,1.2171288852109248,0.27720941786531395,0.42133333333333334,1.4562765055076035
Florida State,ACC,0.040392399265119706,0.3499308437067773,1.288372956681775,0.23882217075546852,0.40954773869346733,1.3781018393609883
Wyoming,Mountain West,0.03159525476799712,0.3569620253164557,1.2863101168213495,0.2255971137750626,0.4340369393139842,1.2803264266081873
Louisiana Tech,Conference USA,0.020200537714157033,0.3737259343148358,1.1951447542813751,0.0891916552737099,0.36917562724014336,1.242584940406973
Temple,American Athletic,0.016975147492802895,0.3252858958068615,1.3184254075603796,0.22401138770300716,0.4103831891223733,1.3398996113776576
Northwestern,Big Ten,0.00731813214502136,0.364247311827957,1.217086576317629,0.14457450082419943,0.442159383033419,1.1484987002515228
Houston,Big 12,-0.0007797037050345348,0.35825105782792666,1.1713062907334666,0.11628373866246935,0.3975741239892183,1.2707986063072187
Kent State,Mid-American,-0.007257961364730488,0.30505709624796085,1.412919648614402,0.3371791324456663,0.49455864570737607,1.2855779740343436
Southern Miss,Sun Belt,-0.01794822442100452,0.34214186369958277,1.2932085818330608,0.30916567514163756,0.4514066496163683,1.4010684312342194
Kennesaw State,Conference USA,-0.040745769831031106,0.31564625850340133,1.2449819611148598,0.2157355433470245,0.46296296296296297,1.1760398222863844
